volume_number	page_number	x1	y1	x2	y2	tokens_count	mean_confidence	text	image
5091	1	440	78	2394	370	3	0.93321	Смерть немецким, оккупантам!	vol-5091-page-01-seg-001-0440-0078-2394-0370.png
5091	1	440	374	2394	720	7	0.98973	ЦЕНТРАЛЬНЫЙ ОРГАН НАРОДНОГО КОМИССАРИАТА ОБОРОНЫ СОЮЗА ССР	vol-5091-page-01-seg-002-0440-0374-2394-0720.png
5091	1	474	758	716	812	2	0.86069	27 (5091)	vol-5091-page-01-seg-003-0474-0758-0716-0812.png
5091	1	1137	756	1751	808	5	0.98503	3 февраля 1942 г., вторник	vol-5091-page-01-seg-004-1137-0756-1751-0808.png
5091	1	2196	760	2438	808	2	0.80909	ЦЕНА 15 КОП.	vol-5091-page-01-seg-005-2196-0760-2438-0808.png
5091	1	2628	316	4524	776	31	0.96325	В каждом бою нащупывать слабые места противника и во всю силу бить по этим местам. Решительно и смело взламывать оборону врага на всю ее глубину, брать немцев в кольцо и истреблять!	vol-5091-page-01-seg-006-2628-0316-4524-0776.png
5091	1	496	880	1721	1068	5	0.99309	ОТЛИЧНО ГОТОВИТЬ КАЖДЫЙ НАСТУПАТЕЛЬНЫЙ БОЙ!	vol-5091-page-01-seg-007-0496-0880-1721-1068.png
5091	1	430	1105	1101	1567	70	0.96064	Части Красной Армии продолжают вести наступательные бои, нанося немец- ко-фашистским захватчикам удар за уда- ром. Отступая под натиском наших войск, враг яростно сопротивляется. Немцы на- прягают все силы, чтобы задержаться на подготовленных к обороне рубежах, спа- сти от разгрома свои полки и дивизии. Это обязывает наши войска умножить мощь ударов по врагу. Это обязывает наших командиров еще лучше организо- вывать каждый бой, как можно тщатель- нее подготавливаться к каждому бою.	vol-5091-page-01-seg-008-0430-1105-1101-1567.png
5091	1	420	1569	1088	2802	183	0.95979	Наступательный бой, тем более име- ющий целью уничтожение живой силы противника, сложен. Он не терпит опро- метчивости, скоропалительности. Успех его в огромной мере решается тем, на- сколько хорошо он подготовлялся. Ни находчивость командиров, ни доблесть бойцов ничто не может возместить недоделки и промахи, допущенные при подготовке наступательного боя. Органи- зация его должна быть безупречной во всех отношениях. Задача наших войск состоит в том, чтобы наступать быстрыми темпами. Но это не может служить поводом для того, чтобы бросаться на врага на простом, без четко продуманного плана действий, без необходимой подготовки. Лучше четыре часа готовиться и полчаса драться, чем полчаса готовиться и четыре часа драть- ся. Лучше задержаться на несколько ча- сов для подготовки и потом шагнуть сра- зу на десять километров, чем ринуться хода в бой и шагнуть только на километр. Обстановка может потребовать иногда быстро привести часть в действие. но и в этом случае искусный командир найдет время и возможности для всесто- ронней подготовки боя. Высокие темпы наступления достига - ются не просто ускорением шага, а силой ударов, наносимых неприятелю. Только высокая организованность, хорошая под- готовка каждого наступательного боя обес- печивают быстрое продвижение.	vol-5091-page-01-seg-009-0420-1569-1088-2802.png
5091	1	408	2810	1086	4612	273	0.96251	Для успешного решения главной зала- чи нашего наступательного боя унич- тожения живой силы неприятеля, для достижения успеха пеной меньших потерь и в кратчайший срок есть испы- танный путь. Путь этот таков: находить слабые места в боевых порядках против- ника и наносить по этим слабым местам сосредоточенный удар, взламывая оборо- ну врага на всю глубину, решительно п смело выходя в его тыл. Что необходимо для 'этого? Во-первых, располагать достаточными данными о противнике. Нужно пустить в ход все средства, чтобы своевременно добыть сведения, необходимые для на- ступательного боя. Нельзя допускать, что- бы командир вел свою часть в бой вслепую, не имея более или менее чет- кого представления о группировке непри- ятеля, системе его обороны, характере укреплений и т. 1. Больше заботы о раз- ветке, больше внимания разведывательной службе! Во-вторых, необходимо до конца пролу- мать план боя на всех его этапах и обес- печить материальное выполнение этого плана. Главное здесь правильно напилить свои подразделения и так рассчитать сп- лы, чтобы их хватило на всю глубину боя. Непростительной беспечностью было бы надеяться на пассивность неприятеля всегда нужно быть готовым к актив- ным действиям с его стороны и заранее парировать его предусматривать, как контрудары, контратаки, обеспечивая се- бя тактическими резервами. Прорыв не самоцель. Это --- только часть боя, дающая возможность выйти в тыл врагу смелым маневром любить его, уничто- жить всю его группировку. Надо так рас- считать свои силы, чтобы иметь средства для развития прерыза, чтобы тула, где обозначился успех, немедленно можно бы- по бросить свежие подразделения. Работая над планом боя, командир, учтя весь свой опыт, должен предусмот- реть все, чтобы свести до минимума воз- можные неожиданности, внезапность. Известно, например, что боевые порядки чаще всего расстраиваются при прорыве	vol-5091-page-01-seg-010-0408-2810-1086-4612.png
